car_park_no,address,x_coord,y_coord,night_parking
B24,BLK 84/89 BEDOK NORTH AVENUE 4,39682.7466,34983.1176,YES
B24A,BLK 84 BEDOK NORTH STREET 4,39829.8122,34830.0817,YES
B25,BLK 91/97 BEDOK NORTH AVENUE 4,39927.1063,35018.7287,NO
B26,BLK 98/100 BEDOK NORTH AVENUE 4,39910.4336,35166.7734,YES
B27,BLK 101/106 BEDOK NORTH AVENUE 4,39654.1953,35145.7266,YES
B28,BLK 107/110 BEDOK NORTH ROAD,39379.6445,34971.7852,YES
B30,BLK 119/123 BEDOK NORTH STREET 2,39733.8204,34684.0888,YES
B31,BLK 124/129 BEDOK NORTH STREET 2,39744.5963,34524.6842,YES
B32,BLK 130/132 BEDOK NORTH STREET 2,39511.7026,34404.0851,YES
B33,BLK 131/133 BEDOK NORTH AVENUE 3,39405.1638,34385.3038,YES
B34,BLK 134/136 BEDOK NORTH AVENUE 3,39391.0547,34503.7773,YES
B35,BLK 137/140 BEDOK NORTH AVENUE 3,39335.7148,34586.2422,YES
B40,BLK 504/507 BEDOK NORTH STREET 3,39067.9293,34972.3428,YES
B41,BLK 510 BEDOK NORTH STREET 3,38925.7812,34972.8867,NO
B42,BLK 509/511 BEDOK NORTH STREET 3,38851.0273,34961.4805,YES
B43,BLK 519/522 553 BEDOK NORTH AVENUE 1/2,38492.9294,34812.5657,YES
B44,BLK 528/536 BEDOK NORTH STREET 3,38482.3867,35129.4805,YES
B44A,BLK 523/527 BEDOK NORTH STREET 3,38743.3984,35178.6016,YES
B44B,BLKS 556/557 BEDOK NORTH STREET 3,37970.7092,34944.8181,YES
B45,BLK 537/539 BEDOK NORTH STREET 3,38250.9386,34876.1148,YES
B46,BLK 537/538 BEDOK NORTH STREET 3,38112.1565,34836.4398,NO
B47,BLK 540/542 BEDOK NORTH STREET 3,37896.9112,34789.4034,YES
B48,BLK 543/547 BEDOK NORTH STREET 3,38027.5007,34700.9495,YES
